Country Name;Country_Code;Series Name;Series Code;1990;1991;1992;1993 [YR1993];1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Switzerland;CHE;Population, total;SP.POP.TOTL;6715519;6799978;6875364;6938265;6993795;7040687;7071850;7088906;7110001;7143991;7184250;7229854;7284753;7339001;7389625;7437115;7483934;7551117;7647675;7743831;7824909;7912398;7996861;8089346;8188649;8282396;8373338;8451840;8514329;8575280;8638167;8704546
Spain;ESP;Population, total;SP.POP.TOTL;38867322;38966376;39157685;39361262;39549108;39724050;39889852;40057389;40223509;40386875;40567864;40850412;41431558;42187645;42921895;43653155;44397319;45226803;45954106;46362946;46576897;46742697;46773055;46620045;46480882;46444832;46484062;46593236;46797754;47134837;47365655;47415794
Norway;NOR;Population, total;SP.POP.TOTL;4241473;4261732;4286401;4311991;4336613;4359184;4381336;4405157;4431464;4461913;4490967;4513751;4538159;4564855;4591910;4623291;4660677;4709153;4768212;4828726;4889252;4953088;5018573;5079623;5137232;5188607;5234519;5276968;5311916;5347896;5379475;5408320
Serbia;SRB;Population, total;SP.POP.TOTL;7586000;7595636;7646424;7699307;7734639;7625357;7617794;7596501;7567745;7540401;7516346;7503433;7496522;7480591;7463157;7440769;7411569;7381579;7350222;7320807;7291436;7234099;7199077;7164132;7130576;7095383;7058322;7020858;6982604;6945235;6899126;6834326
Romania;ROU;Population, total;SP.POP.TOTL;23201835;23001155;22794284;22763280;22730211;22684270;22619004;22553978;22507344;22472040;22442971;22131970;21730496;21574326;21451748;21319685;21193760;20882982;20537875;20367487;20246871;20147528;20058035;19983693;19908979;19815616;19702267;19588715;19473970;19371648;19265250;19122059
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data from database: Population estimates and projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated: 12/20/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
