OBJECTID;STORAGE_UNIT_NAME;ASSESS_UNIT_TYPE;STORAGE_TYPE;GROSS_THICK_MEAN;DEPTH_MEAN;PRESSURE_MEAN;TEMP_C_MEAN;PERM_MEAN;CO2_DENSIT;TOTAL_STORE_CAP;COUNTRYCODE;LONG;LAT;ONSHORE
495;Statfjord Unit 1;Saline Aquifer with hydrocarbon fields;1;190;3500;368;130;450;700;390.44544;GB;1.691080855;59.57640081;0
465;Bridport Sands Unit;Saline Aquifer without hydrocarbon fields;0;60;800;80;35;10;696;393.788448;GB;-2.362227552;50.43990603;0
447;Flugga Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;60;1675;184;67;6000;600;431.218705;GB;1.241960125;58.88268013;0
438;Hewett Sandstone;Saline Aquifer with hydrocarbon fields;1;26;1400;150;52;750;600;431.227368;GB;2.098288917;52.75632531;0
505;Zechsteinkalk Unit;Saline Aquifer with hydrocarbon fields;1;90;1400;150;7;1;700;463.4623;GB;1.711237137;52.90913671;0
322;Danube basin Pannonian SU;Saline Aquifer without hydrocarbon fields;0;40;2800;280;93.85;100;670;496.7424;SK;17.74805556;48.035;1
485;Claymore Sandstone Member;Saline Aquifer with hydrocarbon fields;1;120;3000;320;113;50;600;507.6;GB;0.057532184;58.37975968;0
44;Trigonodus Dolomite;Saline Aquifer without hydrocarbon fields;0;60;1500;150;75;30;675;551.7801;CH;7.987217726;47.29608852;1
181;Jesi 6 - Marche 1 SU;Saline Aquifer without hydrocarbon fields;0;200;1300;16;0;0;650;561.6;IT;13.260278;43.578611;1
504;Nansen Unit 2;Saline Aquifer without hydrocarbon fields;0;50;3500;368;130;50;700;592.2315;GB;1.383649969;61.02533293;0
148;Dugi Otok;Saline Aquifer without hydrocarbon fields;0;1170;1515;151.5;44;0;754.75;601.6515944;HR;14.89;43.82333333;0
524;Skagerrak Unit 2;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;604.044;GB;0.01791139;58.90608782;0
177;S.Pietro in Casale 3 - Emilia 1 SU;Saline Aquifer without hydrocarbon fields;0;615;1253;98;0;0;610;649.9677416;IT;11.391944;44.716667;1
138;Sava Central;Saline Aquifer with hydrocarbon fields;1;1700;1850;185;97;90;450.41;684.2328745;HR;16.79361111;45.41305556;1
476;Beatrice Formation Unit;Saline Aquifer with hydrocarbon fields;1;50;2000;200;80;50;594;751.12488;GB;-2.678314764;58.13984376;0
183;Pomarico 7 - Basilicata 1 SU;Saline Aquifer without hydrocarbon fields;0;200;1225;0;0;0;650;766.35;IT;16.489444;40.518889;1
182;Notaresco 1 - Abruzzi 1 SU;Saline Aquifer without hydrocarbon fields;0;281;1295;76;0;0;650;778.099959;IT;13.956944;42.650833;1
323;Danube basin Pontian SU;Saline Aquifer without hydrocarbon fields;0;120;1900;190;66.85;200;655;784.7424;SK;17.74805556;48.035;1
497;Captain Sandstone Member;Saline Aquifer with hydrocarbon fields;1;60;900;92;30;7000;700;805.72968;GB;-1.778740867;58.31936376;0
176;Poggio Rusco 1 - Lombardia 3 SU;Saline Aquifer without hydrocarbon fields;0;330;1165;0;0;0;620;824.9472;IT;11.176389;44.947222;1
46;Malm limestones;Saline Aquifer without hydrocarbon fields;0;500;1200;120;49;0.05;675;991.25775;CH;7.706434637;47.06283897;1
484;Burns Sandstone Member;Saline Aquifer without hydrocarbon fields;0;100;1500;165;60;50;600;1109.52;GB;-1.71367925;58.244461;0
460;Collyhurst Sandstone Unit 2;Saline Aquifer without hydrocarbon fields;0;575;1490;164;61;0.1;700;1220.524256;GB;-4.003398067;54.18761158;0
462;Otter Sandstone Formation;Saline Aquifer with hydrocarbon fields;1;125;1500;165;65;50;688;1265.9458;GB;-2.123036842;50.48018175;0
471;Grid Sandstone Member;Saline Aquifer without hydrocarbon fields;0;100;1000;103;43;500;600;1389.15;GB;1.256971647;59.26360488;0
134;Grevena;Saline Aquifer without hydrocarbon fields;0;300;1100;120;50;50;584.71;1528.724295;GR;21.14888889;40.29611111;1
454;Ormskirk Sandstone Unit 1;Saline Aquifer with hydrocarbon fields;1;230;890;95;61;100;725;2957.0204;GB;-3.591170453;53.84996599;0
173;Greensand 'A' and 'B' Sands;Saline Aquifer with hydrocarbon fields;1;38;800;82;29;50;787;2050.684326;IE;-8.051944444;51.25555556;0
491;Piper Formation;Saline Aquifer with hydrocarbon fields;1;140;3000;309;113;1000;700;2138.83824;GB;-0.099272968;58.52309137;0
459;Collyhurst Sandstone Unit 1;Saline Aquifer without hydrocarbon fields;0;363;1700;1700;66;20;700;2141.463324;GB;-3.495559357;53.64289201;0
479;Brent Group;Saline Aquifer with hydrocarbon fields;1;180;2500;400;95;300;700;2754.10791;GB;1.351733828;61.11119112;0
135;Drava;Saline Aquifer with hydrocarbon fields;1;1000;1400;140;82;90;373;2271.403296;HR;17.7225;45.80416667;1
133;Thessaloniki Basin;Saline Aquifer with hydrocarbon fields;1;100;1800;180;60;100;705.44;2698.308;GR;22.61583333;40.56;1
487;Findhorn Formation;Saline Aquifer without hydrocarbon fields;0;500;3000;330;113;10;600;4741.74;GB;-1.924529913;58.32562071;0
457;Maureen Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;55;2500;258;95;100;700;4828.123075;GB;0.799728696;58.21578367;0
492;Skagerrak Unit 1;Saline Aquifer with hydrocarbon fields;1;400;3250;348;122;10;700;5265.988;GB;1.622149179;57.34975132;0
132;Prinos Sand;Saline Aquifer with hydrocarbon fields;1;260;2400;310;110;50;724.77;6317.556896;GR;24.34388889;40.65166667;0
464;Plattendolomit Unit;Saline Aquifer with hydrocarbon fields;1;120;2000;206;78;20;700;5492.7872;GB;0.944759993;57.34051093;0
78;Bunter Sand Stone unit 1;Saline Aquifer without hydrocarbon fields;0;200;1600;16;50;300;629;6210.400302;DK;11.4;54.7;1
470;Dornoch Formation;Saline Aquifer without hydrocarbon fields;0;300;1400;140;57;150;600;8036.7876;GB;0.117677473;58.78460253;0
475;Auk Formation Unit;Saline Aquifer with hydrocarbon fields;1;150;2000;214;78;1;630;8856.097658;GB;1.449268638;57.43753242;0
79;Gassum Formation unit 1;Saline Aquifer without hydrocarbon fields;0;150;1523;16;51;385;628;9072.13824;DK;10.0018;56.56119;1
463;St Bees Sandstone  Unit;Saline Aquifer without hydrocarbon fields;0;885;1435;153;79;5;725;11099.42404;GB;-3.783000562;54.04912548;0
442;Heimdal Sandstone Unit;Saline Aquifer without hydrocarbon fields;0;491.64;1422;146;58;200;600;12220.08093;GB;1.390369946;59.74385612;0
439;Bunter Sandstone Formation;Saline Aquifer with hydrocarbon fields;1;150;1535;158;60;20;600;13293.9144;GB;1.270767238;54.01255983;0
201;Deimena Formation Sandstone;Saline Aquifer with hydrocarbon fields;1;50;1000;100;21.5;300;700;13552;LV;22.33267;56.60013;1
516;Fulmar Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;250;3000;372;140;200;700;13693.05;GB;1.584463885;56.95215819;0
446;Mousa Formation;Saline Aquifer without hydrocarbon fields;0;250;700;72;32;1000;600;14613.75;GB;0.131075992;58.50572513;0
472;Cormorant Formation;Saline Aquifer without hydrocarbon fields;0;650;3400;774;135;40;857;16360.99166;;1.207222222;60.45638889;0
469;Mey Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;238;2300;237;88;500;700;21854.58985;GB;0.510038306;57.90680973;0
232;Mogilenska;Saline Aquifer without hydrocarbon fields;0;160;1135;113.5;50;0;531.4;25213.35706;PL;18.29055556;52.56361111;1
444;Forties Sandstone Member;Saline Aquifer with hydrocarbon fields;1;80;2000;203;38;100;700;26453.71952;GB;1.333267017;57.40650906;0
81;Skagerrak Formation unit 1;Saline Aquifer without hydrocarbon fields;0;300;1500;12;41;100;641;36636.56525;DK;8.311394;57.438222;0
233;Borucicka;Saline Aquifer without hydrocarbon fields;0;100;1650;165;65;0;595.9;39663.34236;PL;18.22666667;52.46638889;1
234;Komorowska;Saline Aquifer without hydrocarbon fields;0;100;1700;170;65;0;609.5;40568.5638;PL;18.58166667;52.45333333;1
235;Baltycka;Saline Aquifer without hydrocarbon fields;0;200;4000;400;90;0;789.7;93202.28928;PL;18.80694444;52.62;1
